week,volume
2022-10-31,0.33
2022-11-07,0.47
2022-11-14,0.32
2022-11-21,1.69
2022-11-28,1.23
2022-12-05,0.77
2022-12-12,0.49
2022-12-19,0.14
2022-12-26,0.39
2023-01-02,0.33
2023-01-09,0.36
2023-01-16,0.49
2023-01-23,0.5
2023-01-30,0.48
2023-02-06,0.48
2023-02-13,0.45
2023-02-20,0.41
2023-02-27,0.47
2023-03-06,0.62
2023-03-13,0.6
2023-03-20,0.51
2023-03-27,0.46
2023-04-03,0.65
2023-04-10,0.83
2023-04-17,0.97
2023-04-24,0.86
2023-05-01,0.83
2023-05-08,0.87
2023-05-15,0.78
2023-05-22,0.75
2023-05-29,0.69
2023-06-05,0.9
2023-06-12,0.58
2023-06-19,0.67
2023-06-26,0.68
2023-07-03,0.79
2023-07-10,0.81
2023-07-17,0.71
2023-07-24,0.66
2023-07-31,0.65
2023-08-07,0.66
2023-08-14,0.62
2023-08-21,0.57
2023-08-28,0.56
2023-09-04,0.44
2023-09-11,0.58
2023-09-18,0.61
2023-09-25,0.48
2023-10-02,0.58
2023-10-09,0.38
2023-10-16,0.51
2023-10-23,0.48
2023-10-30,0.48
2023-11-06,0.54
2023-11-13,0.52
2023-11-20,0.77
2023-11-27,0.76
2023-12-04,0.64
2023-12-11,0.64
2023-12-18,0.78
2023-12-25,0.71
2024-01-01,0.76
2024-01-08,0.9
2024-01-15,0.86
2024-01-22,0.86
2024-01-29,0.94
2024-02-05,1.3
2024-02-12,1.81
2024-02-19,2.47
2024-02-26,3.12
2024-03-04,4.0
2024-03-11,4.49
2024-03-18,2.73
2024-03-25,3.0
2024-04-01,4.28
2024-04-08,5.56
2024-04-15,5.79
2024-04-22,6.12
2024-04-29,6.52
2024-05-06,8.09
2024-05-13,6.41
2024-05-20,5.12
2024-05-27,6.17
2024-06-03,5.84
2024-06-10,5.89
2024-06-17,7.81
2024-06-24,7.99
2024-07-01,8.92
2024-07-08,7.55
2024-07-15,7.22
2024-07-22,6.44
2024-07-29,5.3
2024-08-05,6.37
2024-08-12,7.74
2024-08-19,6.99
2024-08-26,5.04
2024-09-02,4.11
2024-09-09,4.85
2024-09-16,4.82
2024-09-23,4.48
2024-09-30,4.42
2024-10-07,3.0
2024-10-14,3.23
2024-10-21,3.63
2024-10-28,3.43
2024-11-04,4.17
2024-11-11,2.91
2024-11-18,3.44
2024-11-25,3.44
2024-12-02,4.08
2024-12-09,3.25
2024-12-16,2.92
2024-12-23,2.47
2024-12-30,2.8
2025-01-06,3.27
2025-01-13,4.17
2025-01-20,4.56
2025-01-27,5.19
2025-02-03,6.34
2025-02-10,5.81
2025-02-17,6.46
2025-02-24,7.64
2025-03-03,9.1
2025-03-10,9.82
2025-03-17,6.18
2025-03-24,7.68
2025-03-31,8.31
2025-04-07,9.25
2025-04-14,8.19
2025-04-21,7.61
2025-04-28,7.55
2025-05-05,10.27
2025-05-12,9.44
2025-05-19,8.34
2025-05-26,8.89
2025-06-02,9.81
2025-06-09,10.46
2025-06-16,14.61
2025-06-23,11.81
2025-06-30,10.87
2025-07-07,11.9
2025-07-14,10.89
2025-07-21,10.46
2025-07-28,10.68
2025-08-04,13.43
2025-08-11,13.6
2025-08-18,15.2
2025-08-25,16.24
2025-09-01,13.43
2025-09-08,16.59
